normalized_number,name,category
+78003330858,Ростелеком,support
+78001008000,Ростелеком,support
+74957274949,Ростелеком,support
+78005001600,МТС Дом Ру,support
+78003334400,Ростелеком Интернет,support
+78007008003,Йота,support
+74956440000,Йота Москва,support
+78005500800,МегаФон Йота,support
+78001000068,ФНС,government
+78002222222,ФНС,government
+74959815605,ФССП,government
+78005557755,ФМС/МВД,government
+74956948300,МВД справка,government
+74956670299,МВД,government
+78007009999,МВД России,government
+78002501396,МВД России,government
+78007002020,Госуслуги,government
+74957715555,Госуслуги,government
+78002007001,Госуслуги,government
+74957770544,МФЦ Москва,government
+78005500550,Пенсионный фонд,government
+74959870220,Пенсионный фонд,government
+78007000004,Росреестр,government
+78007000005,Росреестр,government
+74957771010,Росреестр,government
+78007004040,Росздравнадзор,government
+78002000001,Росздравнадзор,government
+78002000002,Роспотребнадзор,government
+78002000003,Роспотребнадзор,government
+78007006060,Росатом,government
+78007007070,Роскосмос,government
+78007001010,Росавтодор,government
+78007001111,Росавиация,government
+78007001212,Росжелдор,government
+78007001313,Росморречфлот,government
+78007001414,Россельхознадзор,government
+78007001515,Рыболовство,government
+78007001616,Роснедра,government
+78007001717,Росводресурсы,government
+78007001818,Рослесхоз,government
+78007001919,Роскомнадзор,government
+7101,Пожарная,emergency
+7102,Полиция,emergency
+7103,Скорая помощь,emergency
+7104,МЧС,emergency
+7112,Единый номер экстренных служб,emergency
+74959885655,МЧС России,emergency
+78005557755,МЧС горячая линия,emergency
+74956942222,Скорая помощь Москва,emergency
+74956943333,Пожарная Москва,emergency
+74956944444,Полиция Москва,emergency
+78001000800,РЖД,support
+78007753535,РЖД,support
+78005551312,РЖД,support
+74952624060,РЖД,support
+78007007575,РЖД,support
+78002500090,Аэрофлот,support
+74957215550,Аэрофлот,support
+78007009966,Аэрофлот,support
+78007008888,С7 Airlines,support
+74957778888,С7 Airlines,support
+78007003030,Уральские Авиалинии,support
+78007005555,Победа,support
+74957886777,Победа,support
+78007007007,Россия авиалинии,support
+74957773377,Россия авиалинии,support
+78007002525,UTair,support
+74957774777,UTair,support
+78007005050,Nordwind,support
+74957778877,Nordwind,support
+78007008080,Red Wings,support
+78007009090,NordStar,support
+78007003535,Алроса,support
+78007002020,Ямал,support
+78007004040,Азимут,support
+78007006060,Икар,support
+78007004545,ИрАэро,support
+78007009595,Оренбуржье,support
+78007009999,Ангара,support
+78007001515,СиЛА,support
+78007001717,Комиавиатранс,support
+78007001919,Хабаровские авиалинии,support
+78001000000,Яндекс Такси,support
+74957770222,Яндекс Такси,support
+78003331133,Яндекс Такси,support
+78007001010,Яндекс Go,support
+78007005556,Озон,support
+74957995555,Озон,support
+78007004444,Wildberries,support
+74957998888,Wildberries,support
+78007001116,Мегамаркет,support
+78007001117,Ламода,support
+78007001118,СберМегаМаркет,support
+78007001119,Авито,support
+78007001120,Юла,support
+78007001121,Циан,support
+78007001122,Авто.ру,support
+78007001123,Домклик,support
+78007001125,HeadHunter,support
+78007001126,SuperJob,support
+78007001127,Работа.ру,support
+78007008889,СберЛогистика,support
+78007009998,СберМаркет,support
+78007009997,СберЕаптека,support
+78007009996,СберЗдоровье,support
+78007009995,СберАвто,support
+78007009994,СберПрайм,support
